Country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Uganda,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zambia,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.094,0.094,1.224,96.424,96.424,96.424
Zambia,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zimbabwe,Solar,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.177,0.905,1.97,2.702,4.326,5.109,6.252,10.607,16.483,18.283,30.024
Zimbabwe,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Asia,Solar,369.496,503.914,709.348,947.373,1236.683,1604.312,1964.962,2286.884,2862.401,3715.257,5527.089,9649.229,16209.692,36224.99,60687.278,90572.954,140469.501,211815.434,276339.258,332679.124,410143.838,485847.661
Asia,Wind,1378.605,2140.012,2356.552,3546.56,5385.56,6879.86,10507.253,13991.923,20989.238,31307.888,46083.588,66026.8,82809.361,99542.487,124336.487,161803.565,184185.42,205015.3,229093.001,257667.152,332301.584,385396.247
Afghanistan,Solar,0,0,0,0,0,0,0,0,0,0.002,0.102,0.12,16.122,16.843,18.363,18.932,20.17,22.023,21.555,31.089,30.745,30.745
Afghanistan,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4
Bangladesh,Solar,0.007,0.01,0.048,0.621,1.397,2.483,3.958,6.596,11.097,18.304,32.286,42.624,66.076,93.964,119.486,144.751,160.583,184.936,200.779,239.148,284.036,329.06
Bangladesh,Wind,0,0,0,0,0,0,0.9,0.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Bhutan,Solar,0,0,0,0,0,0.131,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.455
Bhutan,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Brunei Darsm,Solar,0,0,0,0,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.399,4.795
Brunei Darsm,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,Solar,0.094,0.185,0.283,0.328,0.36,0.543,0.693,1.556,1.902,2.14,2.196,3.899,4.687,5.877,9.187,12.189,18.363,29.378,28.783,124.015,315.036,427.936
Cambodia,Wind,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
China,Solar,33.515,38.02,56.53,66.6,76.6,141.2,160.2,199,253,414.8,1021.8,3107.8,6718.8,17758.8,28398.8,43548.8,77818.8,130832.29,175261.864,204970.8,253963.8,306972.8
China,Wind,341,383,449,547,763,1060,2070,4200,8387.728,17599.408,29633.478,46354.6,61596.873,76730.53,96819.13,131047.73,148516.89,164374.477,184664.877,209581.91,282112.67,328973.43
China HK SAR,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China HK SAR,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China Mac SAR,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China Mac SAR,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei,Solar,0.1,0.2,0.33,0.45,0.57,1.04,1.41,2.44,5.58,9.51,34.555,129.912,231.281,409.938,635.951,884.251,1245.055,1767.702,2738.119,4149.539,5817.205,7700.213
Chinese Taipei,Wind,2.6,5,8.54,8.54,8.54,23.94,101.99,185.99,250.39,374.29,475.89,522.69,570.99,614.19,637.19,646.69,682.09,692.39,713.151,845.159,937.115,1033.368
India,Solar,1.084,5.535,6.705,7.885,7.81,11.567,9.603,25.099,27.723,39.362,65.362,565.815,982.082,1599.327,3772.508,5693.484,9979.021,18251.756,27453.098,35203.408,39385.158,49684.008
India,Wind,941,1563,1606,2461,3813,4433.9,6315,7844.52,10242.5,10925,13184,16179,17299.7,18420.4,22465.3,25088.19,28700.44,32848.46,35288.1,37505.18,38558.6,40067.265
Indonesia,Solar,0.341,0.613,0.937,1.304,1.333,1.386,2.216,5.702,9.504,13.436,14.581,16.989,26.423,38.377,41.648,78.561,88.42,97.503,65.47,155.04,185.33,211.43
Indonesia,Wind,0,0,0,0,0,0,0,0.1,0.26,1.06,0.34,0.93,0.93,0.63,1.12,1.46,1.46,1.46,143.51,154.31,154.31,154.31
Japan,Solar,330,453,637,860,1132,1422,1708,1919,2144,2627,3618,4914,6632,13599,23339,34150,42040,49500,56162,63192,69764,74191
Japan,Wind,84,175,277,508,769,1227,1805,1527,1756,1997,2294,2419,2562,2646,2753,2808,3247,3483,3498,3951,4371,4471
Kazakhstan,Solar,0,0,0,0,0,0.063,0.079,0.597,0.385,0.198,1.267,0.995,2.436,15.762,76.295,143.573,156.989,175.456,490.06,1149.7,1718.6,2834.466
Kazakhstan,Wind,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,52.81,71.755,98.16,112.4,121.45,283.8,486.3,1170.25
Korea DPR,Solar,0,0.027,0.038,0.257,0.335,0.364,0.417,0.459,0.494,0.637,0.951,1.69,2.294,6.139,10.958,22.794,31.534,34.78,37.78,41.78,41.78,51.78
Korea DPR,Wind,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0.6,0.6
Korea Rep,Solar,4,5,5,6,9,14,36,81,357,524,650,730.2,1024.2,1555.2,2481.2,3615.2,4502.2,5835.2,8099,11952,14574.791,18160.575
Korea Rep,Wind,7,11,13,19,29,99,178,196,304,351,382,425,464,576,612,847,1067,1215,1420,1494,1635.802,1708.043
Kyrgyzstan,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kyrgyzstan,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lao PDR,Solar,0,0,0,0,0,0,0.002,0.002,0.003,0.008,0.015,0.016,0.016,0.476,1.538,1.89,2.045,8.117,34.045,34.045,34.045,34.045
Lao PDR,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malaysia,Solar,0,0,0,0,0,0,0,0.45,0.54,0.54,0.544,0.544,31.584,138.674,205.388,266.285,344.108,393.808,545.075,893.595,1482.597,1786.747
Malaysia,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Maldives,Solar,0,0,0,0,0,0.012,0.052,0.072,0.074,0.144,0.166,0.184,1.324,1.753,3.882,4.799,7.488,10.791,16.478,20.605,26.705,30.805
Maldives,Wind,0,0,0,0,0,0,0,0,1.407,1.407,1.407,1.407,1.407,1.407,1.407,1.407,1.407,1.407,1.407,1.407,1.407,1.407
Mongolia,Solar,0,0,0,0.2,0.2,0.2,0.2,0.2,3.845,3.845,4.585,4.585,4.585,5.018,5.018,5.018,15.018,47.718,64.218,89.218,89.585,89.585
Mongolia,Wind,0.005,0.012,0.012,0.02,0.02,0.02,0.023,0.473,0.473,0.473,0.673,0.673,1.006,50.606,50.606,50.606,50.606,101.006,156.006,156.006,156,155.994
Myanmar,Solar,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,1.4,2.8,4.209,6.271,20.819,32.008,43.781,47.542,88.482,84.496,80.447
