Country,Technology,Grid connection,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belize,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.495,2.576,2.578,2.578,2.578,2.543
Benin,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,1.1,1.1,..
Bhutan,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia (Plurinational State of),Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.07,122.057,182.7
Bolivia (Plurinational State of),Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia (Plurinational State of),Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,0.037,0.037,0.037,0.037,8.158,11.45,34.9,60.38,58.84,70.219
Bolivia (Plurinational State of),Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bonaire, Sint Eustatius and Saba",Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.441,2.841,4.341,8.441,9.141
"Bonaire, Sint Eustatius and Saba",Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bonaire, Sint Eustatius and Saba",Onshore wind energy,On-grid,..,..,..,..,..,..,..,0.7,1.4,1.5,4.9,26.3,32.5,36.7,41.2,40.1,35.1,31.5,37.1,32.5
"Bonaire, Sint Eustatius and Saba",Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,Solar photovoltaic,On-grid,..,..,..,0.116,0.232,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.405,1.553,8.313,9.477,23.607,21,21,30
Bosnia and Herzegovina,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,0.8,0.8,0.8,0.8,0.8,0.8,0.8,103,254
Bosnia and Herzegovina,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,0.554,1.667,1.934,1.868,1.946,1.946,1.946,1.897
Botswana,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,1.615,4.794,16.082,58.917,85.261,831.813,3461.435,6654.579
Brazil,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,Onshore wind energy,On-grid,1,35,61,61,61,92.9,237,662.782,1183,1238,2177,2704.5,5050.046,6578.41,12210.252,21625.702,33488.872,42373.258,48475.141,55985.622
Brazil,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,0.055,0.111,0.111,0.111,0.111,0.209,0.308,0.308,0.308,0.308
British Virgin Islands,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,0.625,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
British Virgin Islands,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,0.81,1.624,1.667,1.692,1.6,1.293,1.067,1.545,1.569,1.058
