,Country,2012_x,2012_y,2012
534,Romania,2639.875,8507.104775,20058035
536,Russian Federation,0.9,15420.87454,143201721
537,Russian Federation,..,15420.87454,143201721
538,Russian Federation,5,15420.87454,143201721
540,Rwanda,0.306,725.1697703,10549668
541,Rwanda,..,725.1697703,10549668
544,Samoa,..,4020.959844,189089
548,Sao Tome and Principe,..,1330.620114,188394
552,Saudi Arabia,25.637,25243.602,29154906
553,Saudi Arabia,..,25243.602,29154906
556,Senegal,..,1317.779802,13401990
560,Serbia,3.565,6015.945228,7199077
561,Serbia,..,6015.945228,7199077
562,Serbia,0.207,6015.945228,7199077
564,Seychelles,..,12006.68296,88303
568,Sierra Leone,..,566.3782351,6712586
572,Singapore,8.317,55546.48854,5312437
573,Singapore,..,55546.48854,5312437
576,Slovenia,162.806,22641.80512,2057159
577,Slovenia,..,22641.80512,2057159
580,Solomon Islands,..,2141.821522,556066
584,Somalia,..,..,12715487
588,South Africa,7.607,8222.197279,52832659
589,South Africa,0.001,8222.197279,52832659
590,South Africa,1.25,8222.197279,52832659
591,South Africa,..,8222.197279,52832659
592,South Sudan,..,1179.739711,10113648
596,Spain,8149.547,28322.80925,46773055
597,Spain,3775.043,28322.80925,46773055
598,Spain,49472,28322.80925,46773055
599,Spain,..,28322.80925,46773055
600,Sri Lanka,2.745,3350.521876,20425000
601,Sri Lanka,..,3350.521876,20425000
602,Sri Lanka,146.804,3350.521876,20425000
604,Sudan,..,1039.762051,36193781
608,Suriname,..,9200.974786,541247
612,Sweden,19,58037.82132,9519374
613,Sweden,..,58037.82132,9519374
614,Sweden,6704.822,58037.82132,9519374
615,Sweden,459.178,58037.82132,9519374
616,Switzerland,300,86547.67089,7996861
617,Switzerland,..,86547.67089,7996861
618,Switzerland,88,86547.67089,7996861
620,Syrian Arab Republic,..,2094.408097,20438861
624,Tajikistan,..,969.2961039,7874838
628,Thailand,493,5860.581471,67835969
629,Thailand,5.475,5860.581471,67835969
630,Thailand,17.179,5860.581471,67835969
631,Thailand,..,5860.581471,67835969
632,Timor-Leste,..,1024.172508,1133002
636,Togo,0.011,571.8067239,6773807
637,Togo,..,571.8067239,6773807
640,Tonga,1,4581.783245,102736
641,Tonga,..,4581.783245,102736
644,Trinidad and Tobago,4.408,19157.45977,1344814
645,Trinidad and Tobago,..,19157.45977,1344814
648,Tunisia,5.814,4361.687736,10846993
649,Tunisia,..,4361.687736,10846993
650,Tunisia,196.3,4361.687736,10846993
652,Turkey,17.375,11795.63346,74651046
653,Turkey,..,11795.63346,74651046
654,Turkey,5860.79,11795.63346,74651046
656,Turkmenistan,..,6675.178055,5267906
660,Turks and Caicos Islands,..,21345.02598,34067
664,Tuvalu,0.055,3506.308144,10744
665,Tuvalu,..,3506.308144,10744
668,Uganda,..,790.1314506,34558700
672,Ukraine,333.3,4004.804396,45593342
673,Ukraine,..,4004.804396,45593342
674,Ukraine,288.2,4004.804396,45593342
676,United Arab Emirates,18.6,40976.49075,9141598
677,United Arab Emirates,..,40976.49075,9141598
680,Uruguay,0.085,15171.58017,3378975
681,Uruguay,..,15171.58017,3378975
682,Uruguay,112.456,15171.58017,3378975
684,Uzbekistan,..,2267.623275,29774500
688,Vanuatu,0.137,2997.293432,249505
689,Vanuatu,..,2997.293432,249505
690,Vanuatu,5.177,2997.293432,249505
692,Zambia,..,1763.069442,14465148
696,Zimbabwe,..,1304.968011,13115149
