,population,GDP_Per_Capita,Solar_Generation_Cost_USD_MW,Mid_Bat_Cost_USD_MW
514,204471759,8813.989806,272.167,550
515,7177991,7074.681023,272.167,550
516,18110616,653.3272681,272.167,550
517,10160034,305.5496525,272.167,550
518,524740,3043.031382,272.167,550
519,15521435,1162.904995,272.167,550
520,23298376,1382.50979,272.167,550
521,35702908,43596.13554,272.167,550
522,14110971,776.0197523,272.167,550
523,17969356,13574.16924,272.167,550
524,1379860000,8016.431435,272.167,550
525,47520667,6175.87603,272.167,550
527,4847805,11642.77805,272.167,550
528,4203604,11933.37738,272.167,550
529,11324777,7694.014637,272.167,550
530,157980,19951.3279,272.167,550
531,1160987,23408.33668,272.167,550
532,5683483,53254.85637,272.167,550
533,913998,2658.949245,272.167,550
534,71175,7597.288894,272.167,550
535,16212022,6124.490887,272.167,550
536,6325121,3705.579704,272.167,550
538,1315407,17402.03761,272.167,550
539,1104038,3680.349473,272.167,550
540,100835453,640.5419231,272.167,550
541,48055,52400.29728,272.167,550
542,868632,5390.714207,272.167,550
543,5479531,42801.90812,272.167,550
544,66548272,36652.92231,272.167,550
545,1947690,7384.700704,272.167,550
546,3725276,4014.185944,272.167,550
547,81686611,41103.25644,272.167,550
548,27849203,1774.074771,272.167,550
550,10820883,18083.87791,272.167,550
551,56114,44536.40131,272.167,550
552,109603,9096.538652,272.167,550
553,161851,35829.25036,272.167,550
554,15567419,3994.636913,272.167,550
555,11432096,769.2554754,272.167,550
556,767433,5576.825852,272.167,550
557,10695540,1386.854191,272.167,550
558,9112904,2286.203037,272.167,550
559,9843028,12720.71202,272.167,550
560,330815,52951.68151,272.167,550
561,1310152392,1605.605445,272.167,550
562,258383257,3331.695115,272.167,550
563,35572269,4688.318017,272.167,550
564,4701957,62012.48493,272.167,550
565,8380100,35808.43643,272.167,550
566,60730582,30242.38614,272.167,550
567,2891024,4907.927415,272.167,550
568,127141000,34960.63938,272.167,550
569,9266573,4164.108769,272.167,550
570,17542806,10510.77189,272.167,550
571,47878339,1464.554009,272.167,550
572,110927,1542.616465,272.167,550
573,3835588,29869.55275,272.167,550
574,6741160,2140.044323,272.167,550
575,1977527,13786.4568,272.167,550
576,6532681,7663.920232,272.167,550
577,2059011,1146.064688,272.167,550
578,4472229,721.5810505,272.167,550
579,6418315,4337.919139,272.167,550
581,2904910,14263.96458,272.167,550
582,569604,105462.0126,272.167,550
583,24234080,467.2354316,272.167,550
584,16745305,380.5969877,272.167,550
585,30270965,9955.242722,272.167,550
586,454914,9033.41027,272.167,550
587,17438772,751.4728866,272.167,550
588,445053,24921.60368,272.167,550
589,4046304,1524.071753,272.167,550
590,1262605,9260.447303,272.167,550
591,121858251,9616.645558,272.167,550
593,2998433,3875.321675,272.167,550
594,622159,6514.272695,272.167,550
595,34663608,2875.257985,272.167,550
596,27042001,589.85905,272.167,550
597,52680724,1196.743357,272.167,550
598,2314901,4896.61526,272.167,550
599,10374,8341.012278,272.167,550
600,27015033,901.7496077,272.167,550
601,16939923,45193.40322,272.167,550
602,4609400,38630.72659,272.167,550
603,6223234,2049.851666,272.167,550
604,20001663,484.1531374,272.167,550
605,181137454,2687.480056,272.167,550
606,2070226,4861.553971,272.167,550
607,5188607,74355.51586,272.167,550
608,4267341,18444.927,272.167,550
609,199426953,1356.667831,272.167,550
610,17665,15876.46193,272.167,550
611,3968490,13630.30114,272.167,550
612,6688746,5413.776021,272.167,550
613,30470739,6229.100674,272.167,550
614,102113206,3001.043182,272.167,550
615,37986412,12578.49547,272.167,550
616,10358076,19250.10654,272.167,550
617,3473232,29763.4883,272.167,550
618,2565708,63039.11263,272.167,550
619,19815616,8969.148921,272.167,550
620,11369066,751.0773926,272.167,550
621,193510,4071.926959,272.167,550
623,31717676,20627.92693,272.167,550
624,14578450,1219.249415,272.167,550
625,7095383,5588.980728,272.167,550
626,93419,14745.34146,272.167,550
627,7171909,588.2288628,272.167,550
628,5535002,55646.61875,272.167,550
629,2063531,20890.16643,272.167,550
630,13797204,386.437817,272.167,550
631,55386369,6259.839681,272.167,550
632,10715657,1119.651437,272.167,550
633,46444832,25742.36883,272.167,550
634,20970000,3843.780672,272.167,550
635,38902948,1329.635962,272.167,550
636,559136,9168.237157,272.167,550
637,9799186,51545.48361,272.167,550
638,8282396,84776.14217,272.167,550
640,51482638,947.9333517,272.167,550
641,68714519,5840.053067,272.167,550
642,7323162,570.9099672,272.167,550
643,100780,4336.239603,272.167,550
644,11179951,4094.836287,272.167,550
645,78529413,11006.27952,272.167,550
647,11099,3197.772252,272.167,550
648,38225447,847.2676289,272.167,550
649,45154036,2124.662319,272.167,550
650,3412013,15613.74597,272.167,550
651,31298900,2753.971072,272.167,550
652,271128,2695.666186,272.167,550
653,15879370,1338.290927,272.167,550
654,13814642,1445.069702,272.167,550
655,7347679005,10223.24793,272.167,550
656,35383028,512.0127781,251.0,520
657,2876101,4124.05539,251.0,520
658,40551398,3946.452447,251.0,520
659,77295,37475.63506,251.0,520
660,28842482,3506.073128,251.0,520
661,43590368,12790.24247,251.0,520
662,2936147,3591.828052,251.0,520
663,104865,28452.17061,251.0,520
664,24190907,49881.76371,251.0,520
665,8736668,45307.58786,251.0,520
666,9757812,3880.738731,251.0,520
667,1425793,22608.45256,251.0,520
668,157977151,1401.564635,251.0,520
669,285798,16900.04829,251.0,520
670,9469379,5039.681886,251.0,520
671,11331422,42012.62272,251.0,520
672,368399,4856.973249,251.0,520
673,10872072,1087.287331,251.0,520
675,736706,2930.574923,251.0,520
676,11031822,3076.65644,251.0,520
677,2159925,6982.917492,251.0,520
678,206163056,8710.06329,251.0,520
679,7127822,7569.478815,251.0,520
680,18646350,688.2506963,251.0,520
681,10488002,260.5652208,251.0,520
682,531140,3130.998753,251.0,520
683,15766290,1269.591499,251.0,520
684,23926549,1413.255957,251.0,520
685,36109487,42315.60371,251.0,520
686,14561658,693.4497674,251.0,520
687,18209072,13753.59215,251.0,520
688,1387790000,8094.363367,251.0,520
689,48175048,5870.777957,251.0,520
691,4899336,12011.22275,251.0,520
692,4174349,12527.73986,251.0,520
693,11335108,8060.796598,251.0,520
694,159664,19555.36585,251.0,520
695,1170189,24605.92083,251.0,520
696,5728010,54663.99837,251.0,520
697,929117,2802.166204,251.0,520
698,71307,8080.968623,251.0,520
699,16491116,6060.092962,251.0,520
700,6356137,3805.995686,251.0,520
702,1315790,18295.34293,251.0,520
703,1113994,3425.531957,251.0,520
704,103603461,717.1248698,251.0,520
705,48173,56854.10265,251.0,520
706,872406,5651.272721,251.0,520
707,5495303,43814.02651,251.0,520
708,66724104,37062.53357,251.0,520
709,2007882,6984.419712,251.0,520
710,3727505,4062.169888,251.0,520
711,82348669,42136.12079,251.0,520
712,28481947,1971.956935,251.0,520
714,10775971,17923.96681,251.0,520
715,56186,48181.87419,251.0,520
716,110263,9628.259169,251.0,520
717,162948,36214.00692,251.0,520
718,15827690,4173.301666,251.0,520
719,11738434,732.2915119,251.0,520
720,771363,5811.397924,251.0,520
721,10839976,1290.380508,251.0,520
722,9270794,2326.297278,251.0,520
723,9814023,13107.37791,251.0,520
724,335439,61987.92636,251.0,520
725,1324517250,1732.554242,251.0,520
726,261556386,3562.816334,251.0,520
727,36610632,4550.658638,251.0,520
728,4755335,62861.63912,251.0,520
729,8546000,37330.2618,251.0,520
730,60627498,30960.73151,251.0,520
731,2906242,4843.7499,251.0,520
732,126994511,39400.73936,251.0,520
733,9554286,4175.356602,251.0,520
734,17794055,7714.841844,251.0,520
735,49051531,1525.235192,251.0,520
736,112529,1584.738015,251.0,520
737,3956862,27653.15762,251.0,520
738,6845848,2324.400917,251.0,520
739,1959537,14331.75159,251.0,520
740,6714281,7653.73363,251.0,520
741,2075041,1018.931093,251.0,520
742,4586788,740.914906,251.0,520
743,6492160,4035.196802,251.0,520
745,2868231,15008.31324,251.0,520
746,582014,106899.2935,251.0,520
747,24894370,475.9555568,251.0,520
748,17205253,315.7779871,251.0,520
749,30684652,9817.78709,251.0,520
750,475505,9209.443564,251.0,520
751,17965448,780.7235695,251.0,520
752,455356,25741.44606,251.0,520
753,4163532,1536.854888,251.0,520
754,1263473,9681.618567,251.0,520
755,123333379,8744.515559,251.0,520
757,3056358,3658.3903,251.0,520
758,622303,7028.936577,251.0,520
759,35126274,2896.722196,251.0,520
760,27829930,428.9266729,251.0,520
761,53045199,1136.610665,251.0,520
762,2358044,4546.986688,251.0,520
763,10474,9521.042101,251.0,520
764,27263430,899.523581,251.0,520
765,17030314,46039.10593,251.0,520
766,4714100,40080.49411,251.0,520
767,6303970,2107.57406,251.0,520
768,20788789,500.2149113,251.0,520
769,185960244,2176.002772,251.0,520
770,2072490,5149.589074,251.0,520
771,5234519,70460.56053,251.0,520
772,4479217,16772.73921,251.0,520
773,203631356,1368.426961,251.0,520
774,17718,16835.986,251.0,520
775,4037073,14343.98026,251.0,520
776,6777878,5324.609068,251.0,520
777,30926036,6204.996457,251.0,520
778,103663812,3073.654686,251.0,520
779,37970087,12447.43959,251.0,520
780,10325452,19991.97249,251.0,520
781,3406672,30627.1634,251.0,520
782,2654379,57162.96801,251.0,520
783,19702267,9548.587403,251.0,520
784,11668829,744.7607488,251.0,520
785,194540,4109.663228,251.0,520
787,32443443,19878.76384,251.0,520
788,14993514,1269.903294,251.0,520
789,7058322,5765.200762,251.0,520
790,94677,15068.62035,251.0,520
791,7328846,501.4151655,251.0,520
792,5607283,56848.17539,251.0,520
793,2065042,21678.35947,251.0,520
794,14185635,389.8220615,251.0,520
795,56207649,5756.965741,251.0,520
797,46484062,26523.34822,251.0,520
798,21203000,3886.291502,251.0,520
799,39847433,1069.839957,251.0,520
800,564883,5872.789429,251.0,520
801,9923085,51965.15715,251.0,520
802,8373338,83073.28008,251.0,520
804,53049231,966.5030166,251.0,520
805,68971313,5993.305516,251.0,520
806,7509952,803.1518934,251.0,520
807,101143,4157.877249,251.0,520
808,11303942,3924.363346,251.0,520
809,79827868,10894.60338,251.0,520
811,11232,3253.899536,251.0,520
812,39649173,736.5598474,251.0,520
813,45004673,2187.73051,251.0,520
814,3424139,16715.63347,251.0,520
815,31847900,2704.677188,251.0,520
816,278326,2805.66532,251.0,520
817,16363449,1280.806543,251.0,520
818,14030338,1464.588957,251.0,520
819,7433569330,10266.0233,251.0,520
820,36296111,516.6798622,216.33,490
