,Installed_Solar_Capacity
1354,0.315
1355,27.629
1356,478.446
1358,207.67
1359,0.93
1360,20.184
1362,9.669
1363,318.0
1364,12031.225
1365,1.4
1366,0.656
1367,53721.0
1368,107.852
1370,3287.72
1372,3.601
1373,34.78
1374,100.808
1375,13.363
1376,8.355
1377,2.607
1378,514.0
1379,2131.0
1380,7.001
1381,39385.158
1382,185.33
1383,37.076
1384,92.84
1385,2472.0
1386,21656.11
1387,92.513
1388,69764.0
1389,1448.375
1390,1718.6
1391,105.827
1392,2.862
1393,93.344
1394,34.045
1395,5.102
1396,78.65
1397,0.363
1398,2.583
1399,5.111
1401,248.0
1402,186.643
1403,33.0
1404,81.5
1405,1482.597
1406,26.705
1407,69.542
1408,187.892
1409,87.509
1410,83.49
1411,5163.0
1413,89.585
1414,6.049
1415,734.0
1416,55.0
1417,84.496
1418,144.958
1419,2.106
1420,66.885
1421,10949.72
1422,142.152
1423,16.36
1424,27.041
1425,28.428
1426,94.205
1427,159.8
1428,111.586
1429,860.313
1430,1.745
1431,242.112
1432,0.057
1433,334.771
1434,1057.881
1435,3954.963
1436,1100.292
1437,384.141
1438,5.1
1439,1382.63
1440,38.338
1441,13.707
1443,109.388
1444,171.0
1445,30.508
1446,3.788
1447,4.372
1448,335.545
1449,369.78
1450,15.538
1451,5989.578
1453,12589.49
1454,370.91
1455,117.13
1456,9.432
1457,1107.0
1458,2973.39
1460,23.644
1461,2987.62
1462,6.202
1463,6.257
1464,94.89
1465,6668.355
1467,2.312
1468,87.292
1469,7331.0
1470,258.318
1471,3.5
1472,4.359
1473,96.424
1474,18.283
1475,716787.807
